url	passage	tokenid	token	lexeme
https://lingualatina.github.io/texts/browsable/hyginus/t/	t.1	t.1.0	EXCERPTA	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/t/	t.1	t.1.1	EX	ls.n16519:ex
https://lingualatina.github.io/texts/browsable/hyginus/t/	t.1	t.1.2	HYGINI	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/t/	t.1	t.1.3	GENEALOGIIS	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/t/	t.1	t.1.3_0	,	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/t/	t.1	t.1.5_0	.	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.0	Ex	ls.n16519:ex
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.1	Caligine	ls.n6259:caligo1
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.2	Chaos	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.2_0	:	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.3	ex	ls.n16519:ex
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.4	Chao	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.5	et	ls.n16278:et
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.6	Caligine	ls.n6259:caligo1
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.7	Nox	ls.n31309:nox
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.8	Dies	ls.n13847:dies
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.9	Erebus	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.10	Aether	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.10_0	.	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.11	ex	ls.n16519:ex
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.12	Nocte	ls.n31309:nox
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.13	et	ls.n16278:et
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.14	Erebo	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.15	Fatum	ls.n17799:fatum
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.16	Senectus	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.17	Mors	ls.n29724:mors
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.18	Letum	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.19	Continentia	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.20	Somnus	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.21	Somnia	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.22	Amor	ls.n2294:amor
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.22	Amor	ls.n2280:amo
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.23	id	ls.n25029:is
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.24	est	ls.n46529:sum1
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.25	Lysimeles	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.25_0	,	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.26	Epiphron	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.27	dumiles	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.28	Porphyrion	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.29	Epaphus	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.30	Discordia	ls.n14196:discordia
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.31	Miseria	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.32	Petulantia	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.33	Nemesis	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.34	Euphrosyne	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.35	Amicitia	ls.n2236:amicitia
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.36	Misericordia	ls.n29266:misericordia
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.37	Styx	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.37_0	;	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.38	Parcae	ls.n33821:Parca
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.39	tres	ls.n48969:tres
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.39_0	,	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.40	id	ls.n25029:is
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.41	est	ls.n46529:sum1
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.42	Clotho	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.43	Lachesis	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.44	Atropos	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.44_0	;	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.45	Hesperides	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.45_0	,	ls.null
https://lingualatina.github.io/texts/browsable/hyginus/pr/	pr.1	pr.1.46	Aegle	ls.null
